,Storage (kWh),PV size (qm),totalCosts,co2,opex,LCOE
0,13,100,10385.04,14651.1,,
1,13,300,9342.13,11387.3,,
2,13,500,9263.63,10593.4,,
3,23,100,10385.04,14651.1,,
4,23,300,9258.01,11166.9,,
5,23,500,9171.07,10350.9,,
